Sample,,,,,,,FA14:0 Results,,DMA 16:0 Results,,FA16:0 Results,,FA16:1n7 Results,,DMA 18:0 Results,,DMA 18:1 Results,,FA18:0 Results,,FA18:1n9 Results,,FA18:2n6 Results,,FA18:3n6 Results,,FA18:4n3 Results,,FA20:0 Results,,FA20:1n9 Results,,FA20:2n6 Results,,FA20:3n6 Results,,FA20:4n6 Results,,FA22:0 Results,,FA20:5n3 Results,,FA22:1n9 Results,,FA22:4n6 Results,,FA22:6n3 Results,,FA22:5n3 Results,,FA24:0 Results,,FA24:1n9 Results,
,,Name,Data File,Type,Level,Acq. Date-Time,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT
,,101_Plasma07a,F-002-1-101_PLASMA07A.D,Sample,,10/8/2025 3:23 PM,247898,3.950,150095,4.625,6044908,4.900,419154,5.100,77189,5.695,37759,5.930,2809952,6.115,8110204,6.330,10737290,6.713,90789,6.930,62847,7.156,90538,7.566,63521,7.810,88200,8.257,362445,8.519,1819631,8.692,112257,9.179,20549,9.431,149967,9.946,21214,10.190,39889,10.628,83365,10.967,72250,11.163,524683,11.345
,,102_Plasma08a,F-003-2-102_PLASMA08A.D,Sample,,10/8/2025 3:43 PM,348064,3.950,203044,4.625,8788341,4.900,634934,5.100,107525,5.695,45550,5.930,3856085,6.115,11445483,6.330,15551656,6.726,129607,6.930,93148,7.158,169484,7.565,98673,7.814,125335,8.258,512697,8.521,2625916,8.698,141558,9.181,28973,9.431,192519,9.950,29247,10.190,60350,10.628,113229,10.973,111375,11.163,769202,11.349
,,103_Plasma09a,F-004-3-103_PLASMA09A.D,Sample,,10/8/2025 4:02 PM,215721,3.950,121638,4.625,5581083,4.900,364561,5.100,76204,5.695,36098,5.930,2816662,6.115,7939207,6.330,10259094,6.712,92848,6.930,58454,7.158,112018,7.563,66997,7.813,87794,8.257,365948,8.521,1758479,8.693,112281,9.180,17809,9.433,150183,9.948,15843,10.179,41118,10.629,87095,10.969,75644,11.160,528997,11.348
,,106_Blanc05a,F-007-4-106_BLANC05A.D,Sample,,10/8/2025 5:01 PM,75959,3.950,32028,4.625,245739,4.900,8114,5.100,6046,5.695,23810,5.930,214878,6.115,66239,6.309,40730,6.683,12910,6.930,1151,7.170,50473,7.556,24680,7.830,11544,8.227,2072,8.514,1758,8.723,22281,9.175,11451,9.433,141243,9.949,18245,10.190,1026,10.624,10562,10.967,1253,11.153,1335,11.331
,,107_Blanc06b,F-008-5-107_BLANC06B.D,Sample,,10/8/2025 5:21 PM,86157,3.950,33249,4.625,341892,4.900,11405,5.100,8814,5.695,23218,5.930,309609,6.115,68180,6.306,43680,6.689,12957,6.930,4725,7.157,84068,7.555,26944,7.830,3425,8.228,1068,8.517,1648,8.727,21005,9.175,10789,9.435,150974,9.950,17143,10.190,1018,10.610,13743,10.968,583,11.159,2821,11.335
,,109_Sample55,F-010-6-109_SAMPLE55.D,Sample,,10/8/2025 6:00 PM,443056,3.950,92705,4.625,8705742,4.900,529514,5.100,118390,5.695,28034,5.930,3429980,6.115,20335047,6.330,6127171,6.703,30976,6.930,95090,7.157,147673,7.573,334804,7.813,109242,8.254,112210,8.519,462804,8.688,132696,9.175,3264379,9.458,140563,9.948,21105,10.190,18484,10.628,90374,10.968,51896,11.160,263424,11.338
,,110_Sample56,F-011-7-110_SAMPLE56.D,Sample,,10/8/2025 6:19 PM,195213,3.950,48449,4.625,3664216,4.900,317982,5.100,62212,5.695,32621,5.930,1951454,6.115,6127209,6.328,2604872,6.687,30624,6.930,28574,7.158,78806,7.568,82870,7.812,44261,8.257,94543,8.518,445739,8.684,70147,9.175,156789,9.435,119303,9.950,14653,10.190,19700,10.626,52471,10.968,22923,11.160,130410,11.340
,,111_Sample57,F-012-8-111_SAMPLE57.D,Sample,,10/8/2025 6:39 PM,77422,3.950,43857,4.625,1217506,4.900,40862,5.100,38908,5.695,33103,5.930,1238965,6.115,1213458,6.309,578846,6.675,15945,6.930,8389,7.154,51504,7.566,22394,7.808,21322,8.263,41145,8.516,274267,8.683,55090,9.175,36418,9.433,122945,9.948,14376,10.190,8886,10.627,56623,10.968,21659,11.158,101573,11.335
,,112_Sample58,F-013-9-112_SAMPLE58.D,Sample,,10/8/2025 6:59 PM,93857,3.950,27104,4.625,1110616,4.900,35359,5.100,29586,5.695,33662,5.930,1022729,6.115,811317,6.309,284379,6.681,15023,6.930,3995,7.155,42736,7.567,15822,7.814,23370,8.277,30316,8.518,133349,8.684,47559,9.175,23108,9.433,116508,9.948,14097,10.190,7515,10.628,46542,10.966,8508,11.163,107665,11.328
